安存科技,数据分析师,长沙,9-14K,1-3年本科,计算机软件,"数据挖掘,大数据,工业数据,模型产品,特征工程"
名利天下,数据分析师,长沙,2-3K,经验不限学历不限,移动互联网,"数据挖掘,数据分析师,店铺运营管理,战略目标,策划"
长沙沃邦,数据分析师,长沙,5-10K,经验不限大专,企业服务,"SPSS,VBA,建模,数据分析师,统计学"
谊品,数据分析师,长沙,3-8K,3-5年大专,其他服务业,"Python,SQL,数据分析师,数据分析管理,"
众美健康,数据分析师,长沙,10-15K,经验不限本科,计算机软件,"大数据,数据挖掘,数据仓库,商业数据分析,数据分析师"
百川创意,数据分析工程师,长沙,8-13K,1-3年本科,互联网,"分配策略,数据分析工程师,业务发展趋势,业务分析,渠道"
新东方教育,数据分析专员(J15498),长沙,5-6K,1-3年本科,在线教育,"数据播报,数据分析专员,审核,合规,专项报告"
滴滴,数据分析专家,长沙,10-15K·15薪,3-5年大专,移动互联网,"数据挖掘,商业分析,异常提醒,建模,数据分析专家"
御强化妆品,数据分析师,长沙,8-10K·14薪,3-5年大专,电子商务,"数据分析师,电商平台,运营,行业情况,运营分析"
先康健康,产品数据分析师,长沙,7-9K,经验不限本科,学术/科研,"数据结构,大数据,产品数据分析,健康管理,系统数据分析"
快乐通宝小额贷款,数据分析工程师,长沙,10-15K·13薪,3-5年本科,互联网,"SQL,Python,数据仓库,数据治理,数据开发"
宝骐,数据分析师,长沙,5-10K,1-3年硕士,咨询,"商业分析,数据挖掘,Python,SPSS,统计建模"
北京中友金审科技...,数据分析经理,长沙,5-9K,3-5年本科,数据服务,"MySQL,大数据,SQL,Python,需求规格说明"
滴答清单,业务数据分析师,长沙,10-15K,3-5年本科,互联网,"数据仓库,数据挖掘,商业分析,预警机制,工具改进"
中科金审,数据分析师,长沙,5-8K,1-3年本科,数据服务,"商业分析,数据挖掘,审计分析,数据分析师,负责项目"
云研云数,数据分析,长沙,6-10K,经验不限本科,数据服务,"Excel,能独立,产品项目,相关资料收集,撰写报告"
长沙雷升,数据分析师,长沙,8-12K,3-5年本科,计算机软件,"SQL,数据分析师,计算机相关,全日制本科及以上学历,数据中台"
上海维音,数据分析岗位,长沙,5-6K,1-3年大专,企业服务,"资料保密,数据分析岗,收集汇总,各项指标,整理汇总"
湖南铭宗,数据分析师,长沙,5-7K,1-3年本科,互联网,"SQLServer,分配策略,数据分析师,业务发展趋势,业务分析"
由创科技,数据分析工程师,长沙,15-20K,3-5年本科,互联网,"数据挖掘,商业数据分析,数据分析工程师,项目负责人,渠道"
义乌仙诚,数据分析师,长沙,4-7K,1年以内大专,贸易/进出口,"数据分析师,店铺运营,运营操作,电子商务,大专或本科"
饿了么,BI数据分析专家,长沙,30-50K·14薪,3-5年本科,O2O,"Excel,SQL,数据仓库,分布式技术,商业智能"
开普云,数据分析,长沙,10-15K,5-10年本科,互联网,"SQL,Python,数据挖掘,大数据,转化路径"
珠宝通,商业数据分析工程师,长沙,4-6K,1-3年本科,企业服务,"商业分析,数据挖掘,商业,数据分析工程师,零售服务"
湖南中广联,售电数据分析工程师,长沙,3-7K,1-3年本科,新能源,"数据分析工程师,负责建立,数学模型,大数据,数学建模"
蒂科蒙科技,数据分析师,长沙,5-8K,1-3年本科,贸易/进出口,"统计学,数据挖掘,Python,数据分析师,电子商务"
